Num,name,ganre,tel,open_h,open_m,close_h,close_m,horiday,address,area,comment1,comment2,,Path
1,朋友食堂,焼き鳥・食堂,0191-63-3376,11,0,20,0,不定休,藤沢町藤沢字早道78-3,藤沢,他店では味わえない砂肝の焼き鳥がおすすめ！,店主のお母さんがとても気さくで話しやすいよ！,,
2,より道,麺類・寿司,0191-63-3578,11,30,22,0,火曜日,藤沢町藤沢字町裏10-1,藤沢,昼間はラーメン、夜は寿司の二段構え,シンプルな中華そばは最高です,,
3,やまきち,食堂,0191-63-2341,11,30,19,30,日曜日、祝日,藤沢町藤沢字町110,藤沢,名物はあんかけカツ丼,昼間は商店街のお客さんでとても賑わいます～,,
4,味処はづき,食堂,0191-63-5380,11,30,22,0,木曜日,藤沢町徳田字赤庭97,藤沢,とんかつが凄く大きくて厚い！,夜は飲み屋でカラオケもあるぞ！,,
5,お食事亭あかり,お好み焼き,0191-63-5586,11,0,22,0,不定休,藤沢町藤沢字柳平163,藤沢,店の雰囲気が隠れ家みたいで凄くいい,自分で焼くお好み焼きは最高だ！,,
6,まるせん,食堂,0191-63-3713,11,0,20,0,日曜日、祝日,藤沢町黄海字町裏27-4,藤沢,岩手サファリパークの社員食堂！もちろん一般の人も入れます,冷麺が凄く美味しい！,,
7,和洋ダイニング雪・月・花,食堂,0191-63-4220,11,30,23,0,水曜日,藤沢町黄海字本沢97-1,藤沢,町中にひっそり佇むお店,おススメはオムライス！ふわふわ！,,
8,手打ちそばうどん　俚楽,そば・うどん,0191-63-5333,11,0,20,0,火曜日、水曜日,藤沢町砂子田字高田103-8,藤沢,最近できた町から少し離れたところにあるお店,少し行きづらいが手打ちの麺はとてもおいしい,,
9,そば屋90,そば・うどん,0191-63-9512,11,30,15,0,月曜日,藤沢町増沢字九十村127-1,藤沢,町のはずれにあるお蕎麦屋さん,昼間は商店街のお客さんでとても賑わいます～,,
10,館々森ファームマーケットBBQテラス,焼肉,0191-63-5101,10,0,17,0,年末年始、月曜日（冬季）,藤沢町黄海字衣井沢山9-15,藤沢,館が森アーク牧場に隣接されている焼肉屋さん,牧場と隣接しているためとってもお肉が新鮮！,,
11,白沢屋,そば・うどん,0191-75-2525,11,0,19,0,不定休,大東町摺沢字駅19,大東,,,,
12,中華レストラン　バンバン,食堂,0191-75-3115,11,0,20,0,月曜日,大東町摺沢字街道下25,大東,駅の目の前にあるアクセス最高の食堂,とても広く大人数の宴会もできるぞ！,,
13,焼肉　政,焼肉,0191-48-5575,11,30,21,0,水曜日,大東町摺沢字新右ェ門土手16-1,大東,おススメは岩海苔冷麺！海苔の風味がいいアクセントになる,国道沿いにあるので手軽に行ける！,,
14,たそがれ食堂　わらく,食堂,0191-75-3394,11,0,16,0,年末年始,大東町渋民字関ノ上115,大東,,,,
15,味処　えび松,食堂,0191-72-3955,11,0,21,0,月曜日,大東町大原字川内56,大東,,,,
16,岩幸商店,麺類,0191-72-2280,10,0,18,0,第一、第三日曜日,大東町大原字一六39,大東,,,,
17,産直　山ちゃん食堂,食堂,0191-72-2877,11,30,14,0,年末年始,大東町大原字金山沢22-1,大東,,,,
18,牧場のレストラン,焼肉・食堂,0191-2123,11,0,15,0,火曜日(4月中旬～11月末）,大東町大原字山口51-139,大東,,,,
19,農事組合法人　京津畑　やまあい工房,テイクアウト,0191-74-4888,11,0,14,0,年末年始,大東町中川字上ノ山69-1,大東,,,,
20,太田食堂,食堂,0191-72-3217,11,0,14,0,日曜日,大東町大原字一六55,大東,,,,
21,もみじ鮨,寿司,0191-53-2790,11,0,22,0,月曜日,千厩町千厩字町浦183,千厩,ちょっとお高いが味は保証されている,その日によって頼めるネタが変わってくるので季節の品を楽しめる！,,
22,クレパレストラン,食堂,0191-52-2995,11,0,21,0,火曜日,千厩町千厩字町133,千厩,,,,
23,焼肉ぱんらい,焼肉,0191-52-2941,11,0,23,0,火曜日,千厩町千厩字古ヶ口96-1,千厩,バイパス沿いに位置する焼肉屋さん,いろんな種類のビビンバがあり老若男女問わず楽しめるお店！,,
24,そば処　かも川,そば・うどん,0191-52-4396,11,0,21,0,水曜日,千厩町千厩石堂37-31,千厩,少し値が張るが味は確か,店内は少し狭いがその分店主やほかのお客さんとのコミュニケーションが取れたりすると楽しいぞ！,,
25,小角食堂,食堂,0191-52-2319,11,0,19,30,日曜日,千厩町千厩字町130,千厩,TV出演も果たした町中にある食堂,個々の名物はあんかけカツ丼で熱々の餡にシャキシャキキャベツがベストマッチ！,,
26,レストラン　あさひや,食堂,0191-52-2325,11,0,21,0,月曜日,千厩町千厩宮敷43-8,千厩,このお店のシェフはなんとかつて女子柔道のオリンピック団専属のシェフだったそう！,本格的なコース料理が楽しめる！,,
27,カフェ　キャトル,カフェ,0191-48-4802,11,0,20,0,月曜日,千厩町千厩字町86-1,千厩,,,,
28,森のいずみ,食堂,0191-53-3040,11,30,20,0,月曜日,千厩町千厩摩王11-4,千厩,少し町から離れたところに位置する小さな食堂！,いろんなメニューがあるが特に中華料理が凄く美味しい,,
29,春香亭,焼肉,0191-52-2338,12,0,22,0,月曜日,千厩町千厩字脇谷19-2,千厩,町裏にある小さな焼肉屋さん！,お肉がとにかく柔らかく口に入れた瞬間とろけるぅ,,
30,麺匠　田舎もん,ラーメン,0191-48-5020,11,0,21,0,水曜日,千厩町千厩字古ヶ口88,千厩,バイパス沿いに位置するラーメン屋さん,学生に人気で値段もリーズナブルな価格になっている,,
31,天金,寿司,0191-64-2270,11,30,21,0,不定休,室根町折壁字宝下28-1,室根,,,,
32,伊吹,そば・うどん,0191-64-2586,11,0,15,0,不定休,室根町折壁2-36-1,室根,,,,
33,からあげ屋　道の駅むろね店,テイクアウト,090-2954-9878,10,0,18,30,不定休,室根町向山131-6,室根,,,,
34,味処　むろね,ラーメン,0191-34-4180,11,0,15,0,火曜日(4月中旬から11月末まで),室根町向山131-6,室根,,,,
35,café 一休み,カフェ・喫茶,0191-34-6200,10,0,16,0,火、水、木、金,室根町折壁一丁目24-1,室根,,,,
36,つばさカフェ,カフェ・喫茶,0191-34-9706,8,30,16,0,火曜日(四月中旬から11月末日まで),室根町矢越大迎112-1,室根,,,,
37,扇家菓子舗,テイクアウト,0191-64-3042,8,30,17,0,不定休,室根町折壁大里94-4,室根,,,,
38,丸長,ラーメン,0191-23-2001,11,30,24,0,日曜,一関市上大槻街2-34　マルチョウビル1F,一関市内,,,,
39,とんちゃん,焼肉,0191-23-2911,11,30,3,0,日曜,一関市駅前48,一関市内,,,,
40,フレンド,喫茶店,0191-23-8601,10,0,19,0,不定休,一関市大町４－11,一関市内,,,,
41,UMAMI SOUP Noodles　虹ソラ,ラーメン,0191-23-2727,11,30,21,0,金曜(不定休あり),一関市三関神田175-1,一関市内,,,,
42,松栄堂,スイーツ,0191-23-5008,8,30,18,0,不定休,一関市地主町3-36,一関市内,,,,
43,カフェ　ノワ,カフェ,080-9331-8513,11,0,18,0,木曜,一関市萩荘字袋田96-5,一関市内,,,,
44,中華飯店　だんらん,中華料理,0191-23-5025,11,0,21,30,不定休,一関市山目十二神58-2,一関市内,おススメは唐揚げ定食！げんこつサイズの巨大な唐揚げがとってもジューシー,お昼時は会社員などでとても賑わっている,,
45,カフェ　KOCO,カフェ,0191-23-5177,10,30,17,30,水曜、木曜,一関市中央町1-3-16,一関市内,,,,
